Urls,Result
https://www.zonasegurabcpenlinea.com/iniciar-sesion,-1
http://wwwzonasegurabcp-viabcp2.com/iniciar-sesion,-1
http://www.zonasegvra-bnmultiweb.club/BNWeb/lnicio/,-1
https://twitter.com/matbet_turkiye/status/1261998047351001089,-1
http://www.mega-bahianinho.com/mobile/login.php?enc=1,-1
https://twitter.com/BahisSikayetOff/status/1243559751830700032,-1
https://magazineluizaecommerce-virtual.com/promocao.php,-1
https://bettika.com/,-1
https://bettika.com/betasus-yeni-adres-2020/,-1
http://bettika.com,-1
http://bettika.com/betasus-yeni-adres-2020/,-1
http://supervaluecopy.com/apple/home/,-1
http://supervaluecopy.com/apple/home/Signin,-1
http://supervaluecopy.com/apple/home,-1
https://righttobewhite.org/wp-includes/js/jquery/ui/x1x/v2/9fe74d449c65013/questions.php?cmd=_update&amp;dispatch=,-1
http://www.daletconsultores.com/red,-1
https://zubeeinternational.com/tim/ndgfnmL1NEoQ9BUR8EcVi30ApMMF6ix1CZxDPN4p20gRITbzEG6EL7S4FBctazoOtpogE5Hbarj,-1
http://itaucard.trocarpontos.com/login/cliente,-1
https://my-file-netfiix-canada.pro/b02f0c434ba1da7396aca257d0eb1e2f,-1
http://frhatyds.com/mtb.com,-1
https://holongglitters.com/Chase/Login.php?sslchannel=true&amp;sessionid=3ZV1K3cAnXPvKA0xQqi4NhDnrFiZqkGtkCu4FHE3Etzp4zWUZfZMwDaYisXINDc7gHcVoRZ2lyrp7nk6,-1
http://artvintagegallery.com/AbsaOnline/AbsaLogin.htm,-1
http://autorizador5.com.br/wp-content/plugins/contact-form-7/admin/compte/pp.fr/pp/default.asp/,-1
http://autorizador5.com.br/wp-content/plugins/contact-form-7/admin/compte/pp.fr/pp/default.asp,-1
https://www.qualitycounterfeits.com/tmp/190.25.109.813627/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,-1
http://theseattlementalist.com/fred/rbcgi3m01.php,-1
https://www.topodesia.com.pe/Update/td/td/questions.html,-1
https://www.topodesia.com.pe/Update/td/td/index.html,-1
https://445d337b5cd5de476f99333df6b0c2a7.webredirect.org/hjhh/indexa.php?P=_93894575342hdfjsixaoweue5_j1489738549283781331983743fncn_Product-UserID&amp;fy9=nobody@mycraftmail.com,-1
http://comunaghergheasa.ro/n/outlook03,-1
http://comunaghergheasa.ro/n/outlook03/,-1
http://meglifepharma.in/live/office-3D8/,-1
http://meglifepharma.in/live/office-3D8,-1
http://membership.authjsh47q4wteaxusthi0fsahrsynetflix.com/b9e4093f970251d5bcf888b76944a4bc/tnFBsV27sc3kIMJg0Z8snqenramMHIXz.php?country=US-United+States&lang=en,-1
http://membership.authjsh47q4wteaxusthi0fsahrsynetflix.com/b9e4093f970251d5bcf888b76944a4bc,-1
http://whitmanfarmhoa.com/wp-content/uploads/2018/rbcbank19/rbcgi3m01.php,-1
https://riohaminoto.com/rmic/asrn.html,-1
http://myhealthinsquotes.com/blog/wp-content/themes/evolve/aiin/zimbra.php?P=_93894574342hdfjsixaoweue5_j1489738549283781331983743fncn_Product-UserID,-1
https://righttobewhite.org/wp-includes/js/jquery/ui/x1x/v2/9fe74d449c65013/questions.php,-1
http://energiaysistemas.com.sv/images/e60c57075f1949add190ec5b87816d98/liamg2.php,-1
https://my-file-netfiix-canada.pro/b02f0c434ba1da7396aca257d0eb1e2f/,-1
https://www.qualitycounterfeits.com/tmp/181.215.79.153678/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,-1
https://hellorosette.com/aramark/onedrive-drive/,-1
https://hellorosette.com/aramark/onedrive-drive,-1
https://holongglitters.com/Chase/,-1
https://holongglitters.com/Chase,-1
http://lineolate-minuses.000webhostapp.com/U.S.2018/LogIn/us-integrals/home/auth/index.htm,-1
https://445d337b5cd5de476f99333df6b0c2a7.webredirect.org/hjhh/indexa.php?P=_93894575342hdfjsixaoweue5_j1489738549283781331983743fncn_Product-UserID&fy9=,-1
https://445d337b5cd5de476f99333df6b0c2a7.webredirect.org/hjhh,-1
http://www.lnrpro.com/BankofAmerica/43fc2253cc29acb/login.php,-1
https://zubeeinternational.com/tim/ndgfnmL1NEoQ9BUR8EcVi30ApMMF6ix1CZxDPN4p20gRITbzEG6EL7S4FBctazoOtpogE5Hbarj/,-1
"http://ichiki.ca/Don/content/3ebec3e98a13596413fbf38abbb3cb07/?user=&.verify?service=mail&data:text/html;charset=utf-8;base64,PGh0bWw+DQo8c3R5bGU+IGJvZHkgeyBtYXJnaW46IDA7IG92ZXJmbG93OiBoaWRkZW47IH0gPC9zdHlsZT4NCiAgPGlmcmFt",-1
http://ichiki.ca/Don/content,-1
https://toolsforresults.org/Vfile/pagee/step.php,-1
https://cidadeweb.tv.br/boalog/login.php?cmd=login_submit&amp;id=f4523f28952eeb1548ae556551111076f4523f28952eeb1548ae556551111076&amp;session=f4523f28952eeb1548ae556551111076f4523f28952eeb1548ae556551111076,-1
https://cidadeweb.tv.br/boalog/login.php?cmd=login_submit&amp;id=14eb554a911b79055dd809a5d817ed3f14eb554a911b79055dd809a5d817ed3f&amp;session=14eb554a911b79055dd809a5d817ed3f14eb554a911b79055dd809a5d817ed3f,-1
http://whitmanfarmhoa.com/wp-content/uploads/2018/rbcbank19/rbcgi3m01.php?rbaccess&rbcgi3m01?F6=1&F7=IB&F21=IB&F22=IB&REQUEST=ClientSignin&LANGUAGE=ENGLISH,-1
http://whitmanfarmhoa.com/wp-content/uploads/2018/rbcbank19,-1
http://www.lnrpro.com/BankofAmerica/e764031a500d5b3/login.php?,-1
http://onlinesport88.com/bizmail.php,-1
http://profile-update.team/mobile/smsinsert.php,-1
http://profile-update.team/mobile/pininsert.php,-1
http://profile-update.team/mobile/index.php?app-token=1ab4%20%20fj3d8c79h26ig5e0CE2K8YfIg%20XOru%20ZMGLPa5%20Bb%20S%20379ag1D6FpTASw%20k%20moHJwNXXXXXXXXXXXX,-1
http://www.lnrpro.com/BankofAmerica/7c0b8f5c2b2e2d0/login.php?,-1
http://holofoundry53.com/chasee-info/,-1
